Titulo,Empresa,Descripcion,Distrito,Modalidad,Salario,Link
Backend Java - Sector bancario,,"Descripción del puesto En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como BACKEND JAVA en el rubro Bancario: BACKEND JAVA Requisitos para postular al cargo: Profesional de las carreras de Ingeniería de sistemas, informática o afines. Experiencia mayor a 5 años en Java y Spring Boot Experiencia mayor a 4 años en Oracle, MySQL y PostgreSQL Experiencia en programaci...","Sector bancario EXPERIS PERÚ Detalle del empleo La empresa Empleos relacionados Actualizado hace 6 días Lima, Lima",Remoto,,https://www.bumeran.com.pe/empleos/backend-java-sector-bancario-experis-peru-1117965923.html
Analista Senior de Automatizaciones e Inteligencia Artificial - Hibrido,,"Descripción del puesto En Cibergestión Perú , empresa de servicios BPO presente en 7 países y con atención a las principales entidades financieras, se encuentra en la búsqueda del mejor talento 💪 para ocupar el puesto de Analista Senior de Automatizaciones e Inteligencia Artificial Misión: Diseñar, desarrollar y mantener soluciones de automatización e inteligencia artificial que mejoren la eficiencia de los procesos internos y productos de software, contribuyendo a la innovación tecnológica de l...","7 Detalle del empleo La empresa Empleos relacionados Actualizado hace 7 días San Isidro, Lima",Remoto,,https://www.bumeran.com.pe/empleos/analista-senior-de-automatizaciones-e-inteligencia-artificial-hibrido-cibergestion-peru-1117964801.html
Programador,,"Descripción del puesto ¿Cuáles serán mis desafíos? Planificar y programar las operaciones de transporte y abastecimiento de productos a nivel nacional. Coordinar la disponibilidad operativa de las unidades en función de la demanda de los clientes y la capacidad de atención. Asegurar la continuidad del suministro de productos en distintas regiones del país, priorizando las zonas críticas para garantizar la cobertura oportuna. Gestionar la programación bajo criterios de seguridad y eficiencia, man...","Programador Confidencial Detalle del empleo La empresa Empleos relacionados Actualizado hace 5 días Lima, Lima",Remoto,,https://www.bumeran.com.pe/empleos/programador-1117960615.html
Desarrollador Fullstack (Java/Js) - Remoto,,"Descripción del puesto Protiviti Perú se encuentra en la búsqueda de un Desarrollador Fullstack especializado en microservicios para un cliente del sector retail farmacéutico . Responsabilidades clave: Desarrollar aplicaciones basadas en microservicios utilizando Java (Hibernate y Spring Boot) y Angular . Implementar soluciones siguiendo arquitectura hexagonal para garantizar modularidad y mantenibilidad. Diseñar, desarrollar y consumir APIs RESTful/APIs REST JSON para integrar los microservicio...","3 Detalle del empleo La empresa Empleos relacionados Actualizado hace 8 días Lima, Lima",Remoto,,https://www.bumeran.com.pe/empleos/desarrollador-fullstack-java-js-remoto-protiviti-peru-1117966558.html
Analista de Programación RPG,,"Descripción del puesto ¡ Somos Izipay ! La red multimarca más grande del país, ¡estamos revolucionando el mercado de pagos! Con la meta de hacer crecer por x4 nuestro número de comercios atendidos, necesitamos reforzar nuestro equipo con personas como tú. ¡Ven a sumarte a este desafío como Analista de Programación ¿Cuáles serán tus responsabilidades? Diseñar, programar, probar e implementar soluciones que optimicen los procesos del área. Diagnosticar y corregir problemas en los sistemas existent...","3 Detalle del empleo La empresa Empleos relacionados Actualizado hace 6 días Miraflores, Lima",Remoto,,https://www.bumeran.com.pe/empleos/analista-de-programacion-rpg-izipay-1117080379.html
Programador,,"Descripción del puesto Estamos en búsqueda de un Programador Full Stack para integrarse a nuestro equipo y participar en uno de nuestros próximos proyectos. Lo que buscamos de ti Principales responsabilidades: Implementar interfaces dinámicas y atractivas con JavaScript e integraciones con APIs REST. Construir y mantener el backend con Node.js y Express, incluyendo el manejo de colas y servicios en tiempo real mediante WebSockets. Diseñar, optimizar y mantener SQL Server, con experiencia en cons...","C Alta revisión de perfiles Detalle del empleo La empresa Empleos relacionados Postulación rápida Actualizado hace 4 horas Miraflores, Lima",Remoto,,https://www.bumeran.com.pe/empleos/programador-ologgi-s.a.c-1117973857.html
Analista Programador Postgre/Oracle/Híbrido,,"Descripción del puesto Por encargo de nuestro cliente, importante empresa líder en finanzas, nos encontramos encuentra en búsqueda de: (1) Analista Programador Postgre/Oracle Requisitos Universitario de Ingeniería de Sistemas, Informática, o afines Experiencia de 3 años en puestos similares como mínimo Experiencia realizando labores de Analista de Sistemas Desarrollador Oracle (PL/SQL) nivel avanzado, store procedures, funciones, packages Desarrollador BD PostgreSQL nivel avanzado Experiencia re...","Híbrido Green Solutions Detalle del empleo La empresa Empleos relacionados Actualizado hace 6 días San Borja, Lima",Remoto,,https://www.bumeran.com.pe/empleos/analista-programador-postgre-oracle-hibrido-green-solutions-1117962598.html
Desarrollador Backend,,"Descripción del puesto Actualmente nos encontramos en búsqueda de 01 Desarrollado Backend para que se integre a nuestro equipo. Profesional en Ingeniería de Sistemas, Computación, Informática o carreras afines. Experiencia mínima de 4 a 5 años en desarrollo con Python, Node.js .Net Lenguajes: Python (3.x) , JavaScript/TypeScript (Node.js LTS) y C# .Net Frameworks: FastAPI o Flask; Express/NestJS. AWS: S3, Lambda, API Gateway/ALB, Step Functions o EventBridge, CloudWatch, IAM; deseable ECS/Fargat...","2 Detalle del empleo La empresa Empleos relacionados Actualizado ayer El Agustino, Lima",Remoto,,https://www.bumeran.com.pe/empleos/desarrollador-backend-inetum-peru-1117968206.html
PROGRAMADOR WEB Y MOVIL,,"Descripción del puesto En Experis Perú , nos encontramos en la búsqueda del mejor talento para sumarse a los desafíos de la transformación digital en el sector de producción. Por ello, te invitamos a formar parte del reto como: Programador de Sistemas Requisitos para el puesto: Egresado o bachiller en Ingeniería de Sistemas o carreras afines. (Indispensable) Experiencia mínima de 2 años en roles similares. Desarrollo de aplicaciones Web y Movil (backend, frontend) en empresas del sector comercia...","8 Detalle del empleo La empresa Empleos relacionados Actualizado ayer San Isidro, Lima",Remoto,,https://www.bumeran.com.pe/empleos/programador-web-y-movil-manpowergroup-peru-1117958854.html
Analista Programador Java,,"Descripción del puesto Analista Programador Java Resumen del Puesto Estamos buscando un Analista Programador Java con experiencia para unirse a nuestro equipo. El candidato ideal tendrá un sólido conocimiento de Java y experiencia en el desarrollo de aplicaciones. Buscamos una persona con disponibilidad para trabajar y colaborar en proyectos desafiantes. Responsabilidades Diseñar, desarrollar y mantener aplicaciones utilizando Java. Analizar los requisitos del sistema y diseñar soluciones eficie...","Analista Programador Java Confidencial Alta revisión de perfiles Detalle del empleo La empresa Empleos relacionados Postulación rápida Actualizado hace 1 hora Lima, Lima",Remoto,,https://www.bumeran.com.pe/empleos/analista-programador-java-1117972678.html
